id,streaming_reference,Titulo,synopsis_es,Topico,clusters_jer,clusters_km,plays
914988453,/video/55693683,"Yo, Natalia","Natalia Kohen, artista de reconocida trayectoria, millonaria y mecenas, denuncia haber sido secuestrada por sus hijas e internada en un conocido neuro-psiquiátrico. Las causas girarían alrededor de intereses económicos centrados en su fortuna. ""Mis hijas me han quitado todo y me quieren hacer pasar por loca"" declara a los diarios. Mientras atraviesa un juicio por insania iniciado por sus hijas, un grupo de estudiantes de cine realiza un documental e intenta conocer al personaje detrás del caso.",4,4,7,782.0
914988455,/video/56206349,Qué sois ahora?,"En la escena musical argentina de las últimas dos décadas, Pequeña Orquesta Reincidentes (hasta el 2000 Reincidentes a secas) representó una fuerza de notable originalidad artística. Grabaron discos memorables como ""Miguita de pan"" y ""Qué sois ahora?""; dieron shows aun más memorables. Y un día, desaparecieron sin ruido. Intrigados por el silencio, Goldgrob y Galuppo comienzan por un e-mail de 2008 en el que la banda anunciaba “Amigos, tenemos que contarles que POR no existe más” para rebelarse contra el ninguneo y la desmemoria habituales del rock local. Y lejos de las convenciones, fabrican un relato que revela las imágenes de los años felices, las canciones, las voces de aquellos que no olvidan, porque todavía llevan a los Reincidentes en su corazón.",36,1,12,31.0
914988456,/video/56283603,Buscando a Reynols,"El grupo Reynols tiene varias particularidades. La más notoria es que uno de sus integrantes tiene Síndrome de Down. Otra particularidad es la de tener una vastísima discografía editada en los más disímiles rincones del planeta, y ser prácticamente desconocidos en Argentina, su país de origen. En contraposición con prácticas orientadas hacia la 'reeducación', los integrantes de Reynols proponen una lógica donde lo que comúnmente es entendido como error o disfunción, es valorado como libertad y originalidad. Esta postura sumada a su singular imagen heredada de la cultura del rock, convierten al grupo en un constante foco de controversias, provocando reacciones ambivalentes tanto en el campo educacional como en el del arte. ",23,29,29,2427.0
914988457,/video/56320587,Cómo estar muerto / Como estar muerto,"Un joven decide autosecuestrarse. Se escapa de la escuela y se reencuentra con dos amigos que desconocen su plan. Vagan por el centro de la ciudad de Buenos Aires a lo largo del día. Finalmente, el joven abandona a sus amigos en un tren mientras éstos duermen. El joven, ahora solo, entra en una deriva nocturna por la ciudad, intenta esconderse. Diversas cámaras vigilan la ciudad. El joven desaparece.",8,16,5,31295.0
914988458,/video/56332529,Aballay,"Aballay era un gaucho mal llevado: resentido, ladrón, asesino. Pero la imagen que devuelve un espejo hace que una persona se replantee toda su vida. Luego de matar salvajemente a un hombre, la mirada aterrorizada del hijo de su víctima le da brutal conciencia de su salvajismo y falta de humanidad, llenándolo de confusión y horror por sí mismo. La mirada de aquel niño no lo abandona, y él sabe que en cualquier momento lo va a buscar...y lo va a encontrar.
",9,2,27,226294.0
914988459,/video/57446321,"Ricardo Becher, Recta Final","Al cineasta, escritor y docente-maestro Ricardo Becher le gustan las decisiones extremas, tanto en su vida como en su obra. Ahora, a sus 80 años comienza un nuevo libro llamado ""Recta Final"", sobre su experiencia geriátrica. Lipgot retrata el presente del cineasta, al mismo tiempo que repasa su historia, desde sus primeros cortos y la colaboración con Torre Nilsson, pasando por la fundamental ""Tiro de gracia"" (1969) - película que desafió a su época y fue censurada -, llegando hasta el nuevo movimiento que Becher fundó con sus alumnos: el neoexpresionismo digital. ",13,6,14,19.0
914988460,/video/57525530,Los próximos pasados,"Argentina, año 1933. El artista plástico mexicano, David Alfaro Siqueiros, pinta el mural “Ejercicio Plástico” en el sótano de la mansión de Natalio Botana, un excéntrico millonario argentino. Setenta años después nos sumergimos en el recorrido de la obra que, fragmentada en partes, está encerrada en cinco contenedores expuesta a las inclemencias del tiempo. ""Los próximos pasados"" cuenta la historia de su realización y destrucción, a través de la reconstrucción de esta singular obra maestra. Una fábula sobre lo que ya no es, sobre los próximos pasados.",12,13,34,2855.0
914988461,/video/64911825,La hora de la siesta,"Este martes 13 no es un buen día para Franca. Su papá murió la noche anterior, su mamá se encerró a llorar desde la mañana y para el mediodía la casa se llenó de parientes indeseables. Su único aliado es su hermanito menor, que está más perdido que ella y no parece poder ayudar demasiado. A la hora de la siesta los hermanos  saldrán a dar una vuelta y pasar las horas previas al entierro de su papá, en un paseo que podría ser también un viaje en el tiempo…",22,20,9,75092.0
914988462,/video/59280321,A próposito de Buenos Aires,"Desde el puerto de Santa María de los Buenos Aires, la ciudad como un desierto donde no cabe esperar piedad ni socorro de nadie. Buques negros y sonoros. Trenes orquestales. Niños abandonados. Letreros luminosos de azul de metileno. Vestíbulos de teatro. Extensas avenidas. Angostas calles rectas. Estudios trasnochados. Colisiones aéreas. Chimeneas sin humo. Cartas idénticas. Encuentros furtivos. Pantanos prefabricados. Lechos legamosos. Islas prohibidas. Casi un millón de libros. Ángeles de piedra. Piedras alegóricas. Cancionistas porteñas en cuerpo y alma. Engaños. Atracos. Estafas. Imágenes blancas y negras de una Buenos Aires muerta. 

Experimento colectivo de once directores con treinta y dos personajes sobre una ciudad en cinco partes: Las trampas. El dinero. El desierto. Las luces. Los muertos. 

Templados y rientes, los restos de un naufragio: A propósito de Buenos Aires. ",4,4,7,67173.0
914988463,/video/60328645,Construcción de una ciudad,"Este documental cuenta la particular y paradójica historia de Federación, un pueblo entrerriano que en los años setenta fue demolido e inundado, y sus pobladores trasladados compulsivamente a una ""Nueva Ciudad"" debido a la construcción de la represa de Salto Grande. Hoy, treinta años después, Federación es visitada por miles de turistas. No es gracias a la explotación de su conmovedora historia o de los restos  de la vieja ciudad que se dejan ver cuando baja el nivel del lago, sino por sus aguas termales descubiertas a mediados de los años noventa. Como ellos mismos repiten, casi como una oración: ""lo que el agua nos quitó, el agua nos devolvió"". ",29,32,16,1883.0
